,source,author,title,description,url,urlToImage,publishedAt,content
12,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,"Crypto Weekly: Bitcoin slides back to $20,000 - Reuters","From bitcoin’s big slide back towards $20,000 to what a court says you can’t buy with Central African Republic’s new coin, we round up the week's big stories in the world of virtual money. Trevor Koroll reports.",https://www.reuters.com/video/watch/idOV160130082022RP1,https://static.reuters.com/resources/r/?d=20220830&i=OV160130082022RP1&r=OV160130082022RP1&t=2,2022-08-30T21:11:50Z,"Posted 
From bitcoins big slide back towards $20,000 to what a court says you cant buy with Central African Republics new coin, we round up the week's big stories in the world of virtual money. Trev… [+17 chars]"
13,"{'id': 'reuters', 'name': 'Reuters'}",,Asset managers to offer fund tokens despite crypto turmoil - Reuters,"Investors in crypto have endured wild moves in recent months, but this has not fazed asset managers who are preparing to use the blockchain technology behind cryptocurrencies to break funds into bite-sized units, or tokens, to sell to small savers.",https://www.reuters.com/technology/asset-managers-offer-fund-tokens-despite-crypto-turmoil-2022-08-26/,https://www.reuters.com/resizer/V6OC6xbJygJhTbbE13LLpWtv-Q4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/E3M4LBYYGVNMVPHGDDYE3ARKYQ.jpg,2022-08-26T12:11:00Z,"LONDON, Aug 26 (Reuters) - Investors in crypto have endured wild moves in recent months, but this has not fazed asset managers who are preparing to use the blockchain technology behind cryptocurrenci… [+4041 chars]"
14,"{'id': 'reuters', 'name': 'Reuters'}",,Nasdaq bets big on digital assets despite crypto turmoil - Reuters,"Nasdaq Inc <a href=""https://www.reuters.com/companies/NDAQ.O"" target=""_blank"">(NDAQ.O)</a> is placing a big bet on the cryptocurrency market, with the launch of a digital assets business that is aimed at tapping institutional investors.",https://www.reuters.com/business/finance/nasdaq-bets-big-digital-assets-despite-crypto-turmoil-2022-09-20/,https://www.reuters.com/resizer/vhmmMl1JCDu98U_lVwDA2ozDnQw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/V2YIMSMH2ZOCJKVDJB7M2YUIEI.jpg,2022-09-20T15:50:00Z,"Sept 20 (Reuters) - Nasdaq Inc (NDAQ.O) is placing a big bet on the cryptocurrency market, with the launch of a digital assets business that is aimed at tapping institutional investors.
The new unit… [+1018 chars]"
15,"{'id': 'reuters', 'name': 'Reuters'}",,Crypto lender Hodlnaut granted creditor protection by Singapore Court - Reuters,"Hodlnaut said on Tuesday it has been placed under interim judicial management by the Singapore High Court, after the troubled cryptocurrency lender suspended withdrawals earlier this month.",https://www.reuters.com/world/asia-pacific/crypto-lender-hodlnaut-granted-creditor-protection-by-singapore-court-2022-08-30/,https://www.reuters.com/resizer/k48xRPP07o7liP702nmkhAUA1Gs=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/YM46DZKRWVJ6JIYRSS4IPU77JQ.jpg,2022-08-30T08:07:00Z,"Aug 30 (Reuters) - Hodlnaut said on Tuesday it has been placed under interim judicial management by the Singapore High Court, after the troubled cryptocurrency lender suspended withdrawals earlier th… [+1234 chars]"
16,"{'id': 'reuters', 'name': 'Reuters'}",,"Biden administration wants more crypto enforcement, digital asset rules - Reuters","U.S. government agencies must double down on digital asset sector enforcement and identify gaps in cryptocurrency regulation, the Biden administration said in reports published on Friday.",https://www.reuters.com/technology/biden-administration-wants-more-crypto-enforcement-digital-asset-rules-2022-09-16/,https://www.reuters.com/resizer/UIjhCUJTz8MlNe4Bl9Yi99qEna0=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/HIDVAZOKRFI2JIH7BSDAMKEB2A.jpg,2022-09-16T10:54:00Z,"Sept 16 (Reuters) - U.S. government agencies must double down on digital asset sector enforcement and identify gaps in cryptocurrency regulation, the Biden administration said in reports published on… [+2187 chars]"
17,"{'id': 'reuters', 'name': 'Reuters'}",,What crisis? High-stakes crypto lending looks here to stay - Reuters,"On May 11, Scott Odell, an analyst at British crypto lender Blockchain.com, instant messaged Edward Zhao of Three Arrows Capital asking that the Singapore hedge fund repay at least part of a $270 million loan.",https://www.reuters.com/technology/what-crisis-high-stakes-crypto-lending-looks-here-stay-2022-09-21/,https://www.reuters.com/resizer/xPN0D5Xld5YlWL6G4_3t2WbfIEc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QF3AU25ZRFN7JBIHGNRJB6APFU.jpg,2022-09-21T05:13:00Z,"LONDON/WASHINGTON, Sept 21 (Reuters) - On May 11, Scott Odell, an analyst at British crypto lender Blockchain.com, instant messaged Edward Zhao of Three Arrows Capital asking that the Singapore hedge… [+7813 chars]"
18,"{'id': 'business-insider', 'name': 'Business Insider'}",mchittum@insider.com (Morgan Chittum),Web3 founders and top VCs break down how blockchain gaming can take crypto mainstream – and explain potential hurdles for widespread adoption,Industry veterans share what you should know about how blockchain gaming will take crypto to the mainstream.,https://www.businessinsider.com/crypto-vcs-web3-founders-blockchain-gaming-future-users-mainstream-2022-9,https://i.insider.com/6214c934462ff20019c5f414?width=1200&format=jpeg,2022-09-14T16:57:21Z,"Blockchain gaming raked in $2.5 billion in funding during Q2, 2022, according to a DappRadar report. The burgeoning space has attracted some of the biggest names in Silicon Valley, with Andreessen Ho… [+6238 chars]"
19,"{'id': 'reuters', 'name': 'Reuters'}",,Celsius files for permission to sell its stablecoin holdings - Reuters,"Bankrupt crypto lender Celsius Network on Thursday filed a request for the sale of its stablecoin holdings, in a bid to raise fund for its operations.",https://www.reuters.com/technology/celsius-files-permission-sell-its-stablecoin-holdings-2022-09-16/,https://www.reuters.com/resizer/Bl-bVBDcLCVATUUTTzFMj19JPa4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/YO3KCMAWONNQFNSIWTSTOV4JNY.jpg,2022-09-16T06:42:00Z,"Sept 16 (Reuters) - Bankrupt crypto lender Celsius Network on Thursday filed a request for the sale of its stablecoin holdings, in a bid to raise fund for its operations.
The request was filed with … [+462 chars]"
20,"{'id': 'reuters', 'name': 'Reuters'}",,U.S. SEC to set up new office for crypto filings - Reuters,"The U.S. securities regulator will set up two new offices to deal with filings related to crypto assets and the life sciences sector, the agency said on Friday.",https://www.reuters.com/markets/us/us-sec-set-up-new-office-crypto-filings-2022-09-09/,https://www.reuters.com/resizer/GinA1NFuisA5sivR91vluRb8SQo=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/TUWQZU5ZZJIF3HLCX5BGWH22LU.jpg,2022-09-09T21:22:00Z,"Sept 9 (Reuters) - The U.S. securities regulator will set up two new offices to deal with filings related to crypto assets and the life sciences sector, the agency said on Friday.
The ""Office of Cry… [+1305 chars]"
21,"{'id': 'reuters', 'name': 'Reuters'}",,"Crypto intermediaries should register with U.S. SEC, agency chair says - Reuters","Companies that help facilitate transactions in the cryptocurrency market should register with the U.S. Securities and Exchange Commission (SEC) just like other market intermediaries, the agency's chair said on Thursday.",https://www.reuters.com/technology/crypto-intermediaries-should-register-with-us-sec-agency-chair-says-2022-09-08/,https://www.reuters.com/resizer/3FeF8Y0t57JgNa1V86VhMS40UjI=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/EU3V7AZNUFOY5II6NWYQYGQVXU.jpg,2022-09-08T12:53:00Z,"WASHINGTON, Sept 8 (Reuters) - Companies that help facilitate transactions in the cryptocurrency market should register with the U.S. Securities and Exchange Commission (SEC) just like other market i… [+1836 chars]"
22,"{'id': 'reuters', 'name': 'Reuters'}",,Cryptoverse: Ether snaps at bitcoin's heels in race for crypto crown - Reuters.com,"For years, ether could barely dream of challenging its big brother bitcoin. Now, its ambitions may be becoming more realistic.",https://www.reuters.com/technology/cryptoverse-ether-snaps-bitcoins-heels-race-crypto-crown-2022-09-13/,https://www.reuters.com/resizer/D6UAwg9xkBVA9UviKEjSKPGTI3w=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QQABWUBD6JJ3JJLRDJTC3IQMFI.jpg,2022-09-13T05:12:00Z,"Sept 13 (Reuters) - For years, ether could barely dream of challenging its big brother bitcoin. Now, its ambitions may be becoming more realistic.
The second-biggest cryptocurrency is taking market … [+3625 chars]"
23,"{'id': 'business-insider', 'name': 'Business Insider'}",insider@insider.com (Carter Kilmann),5 crypto scams to know before you start trading coins,Scammers use various techniques to rob crypto investors. Here are five scams to know and how to avoid them.,https://www.businessinsider.com/personal-finance/crypto-scams,https://i.insider.com/61a79f2b0ed48c0019e53547?width=1200&format=jpeg,2022-09-16T21:42:21Z,"Insider's experts choose the best products and services to help make smart decisions with your money (heres how). In some cases, we receive a commission from our our partners, however, our opinions a… [+9504 chars]"
24,"{'id': 'reuters', 'name': 'Reuters'}",,"U.S. SEC's crypto guidelines push up costs for lenders, disrupting projects - Reuters","Banks' cryptocurrency projects have been upended by U.S. Securities and Exchange Commission (SEC) accounting guidance that would make it too capital-intensive for lenders to hold crypto tokens on behalf of clients, according to more than half a dozen people w…",https://www.reuters.com/technology/us-secs-crypto-guidelines-push-up-costs-lenders-disrupting-projects-2022-09-16/,https://www.reuters.com/resizer/pr3gL_pXla3PQV4cn1W_JePJJ64=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/HJDYMEREYFLQFPCH6PHBFH2UTA.jpg,2022-09-16T04:07:00Z,"WASHINGTON, Sept 16 (Reuters) - Banks' cryptocurrency projects have been upended by U.S. Securities and Exchange Commission (SEC) accounting guidance that would make it too capital-intensive for lend… [+6142 chars]"
25,"{'id': 'business-insider', 'name': 'Business Insider'}",prosen@insider.com (Phil Rosen),"Vitalik Buterin says Ethereum's merge slashes global energy consumption by 0.2%, making it one of the biggest decarbonization events ever",A report from the Crypto Carbon Ratings Institute found that the merge dramatically reduced Ethereum's carbon footprint.,https://markets.businessinsider.com/news/currencies/ethereum-merge-slashes-global-energy-consumption-vitalik-buterin-crypto-currency-2022-9,https://i.insider.com/63247253e555ad001852ebea?width=1200&format=jpeg,2022-09-16T13:48:18Z,"The Ethereum merge this week slashed global energy consumption by 0.2%, Vitalik Buterin wrote in a tweet Thursday, citing a crypto researcher. 
The long-awaited event successfully transformed the bl… [+1970 chars]"
26,"{'id': 'business-insider', 'name': 'Business Insider'}",insider@insider.com (Sam Becker),"Shorting cryptocurrency is a high-risk, advanced investing strategy. Here's how it works","Investors can short cryptocurrencies like Bitcoin, but high volatility and lack of crypto regulation make it particularly risky.",https://www.businessinsider.com/personal-finance/can-you-short-crypto,https://i.insider.com/630e13db2d6c740018c3feca?width=1200&format=jpeg,2022-08-30T16:35:43Z,"When you think about investing, the idea is usually that you profit when the price of an asset increases, and lose money when it falls.
Another, more-advanced approach is short-selling, or shorting.… [+8172 chars]"
27,"{'id': 'business-insider', 'name': 'Business Insider'}",prosen@insider.com (Phil Rosen),Ethereum Merge Explained: Experts break down the risks of the long-awaited crypto update,"Blockchain experts call Ethereum's merge the most important event in crypto history, after the creation of ether and bitcoin.",https://markets.businessinsider.com/news/currencies/ethereum-merge-explained-blockchain-update-cryptocurrency-bitcoin-crypto-eth-vitalik-2022-9,https://i.insider.com/631f2d2b89d2b3001894999b?width=1200&format=jpeg,2022-09-12T15:18:09Z,"The long-awaited Ethereum merge event is set to happen around Thursday, according to the Ethereum Foundation, and experts say it will reduce the blockchain's energy consumption by 99%. 
The update, … [+4117 chars]"
28,"{'id': 'reuters', 'name': 'Reuters'}",,Bankrupt crypto lender Voyager's CFO to exit months after appointment - Reuters,Voyager Digital Ltd Chief Financial Officer Ashwin Prithipaul is preparing to step down from his role within months of his appointment at the crypto lender that filed for bankruptcy in July.,https://www.reuters.com/business/finance/bankrupt-crypto-lender-voyagers-cfo-exit-months-after-appointment-2022-09-23/,https://www.reuters.com/resizer/GLwYtDbbE17f9A8RDxXAjEvEvg8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/J6QXSDOS6ZPK5PE7BMFYWRR434.jpg,2022-09-23T21:58:00Z,Sept 23 (Reuters) - Voyager Digital Ltd Chief Financial Officer Ashwin Prithipaul is preparing to step down from his role within months of his appointment at the crypto lender that filed for bankrupt… [+954 chars]
29,"{'id': 'reuters', 'name': 'Reuters'}",,"Major crypto trader Wintermute hit by $160 million hack, CEO says - Reuters","Hackers have stolen digital assets worth around $160 million from crypto trading firm Wintermute, its CEO tweeted on Tuesday, the latest heist to hit a sector long plagued by cybercrime.",https://www.reuters.com/technology/major-crypto-trader-wintermute-hit-by-160-million-hack-ceo-says-2022-09-20/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=111,2022-09-20T09:37:00Z,"LONDON, Sept 20 (Reuters) - Hackers have stolen digital assets worth around $160 million from crypto trading firm Wintermute, its CEO tweeted on Tuesday, the latest heist to hit a sector long plagued… [+1344 chars]"
30,"{'id': 'reuters', 'name': 'Reuters'}",,Crypto firm 21.co raises $25 million to value it at $2 billion - Reuters,"Crypto investment product firm 21.co, parent of 21Shares, said on Tuesday it had raised $25 million in a funding round led by Marshall Wallace that valued the company at $2 billion.",https://www.reuters.com/markets/currencies/crypto-firm-21co-raises-25-million-value-it-2-billion-2022-09-06/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=109,2022-09-06T07:10:00Z,"Sept 6 (Reuters) - Crypto investment product firm 21.co, parent of 21Shares, said on Tuesday it had raised $25 million in a funding round led by Marshall Wallace that valued the company at $2 billion… [+481 chars]"
31,"{'id': 'reuters', 'name': 'Reuters'}",,Kraken taps insider Ripley to replace CEO Powell - Reuters,"Crypto exchange Kraken said on Wednesday Chief Operating Officer Dave Ripley would replace top boss Jesse Powell, who is stepping down after more than a decade at the helm.",https://www.reuters.com/business/finance/kraken-taps-insider-ripley-replace-ceo-powell-2022-09-21/,https://www.reuters.com/resizer/M8ylWC88y_TRX43JK-tMFc_yc20=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/AFN6L6FG6FKSPN2KQG4R7RMP5Y.jpg,2022-09-21T19:25:00Z,"Sept 21 (Reuters) - Crypto exchange Kraken said on Wednesday Chief Operating Officer Dave Ripley would replace top boss Jesse Powell, who is stepping down after more than a decade at the helm.
Riple… [+800 chars]"
32,"{'id': 'reuters', 'name': 'Reuters'}",,Singapore police says wanted crypto developer Do Kwon is currently not in Singapore - Reuters.com,"Singapore Police Force said on Saturday the wanted crypto developer Do Kwon, who is accused of fraud by investors following the collapse of his cryptocurrencies Luna and TerraUSD, is currently not in the city-state.",https://www.reuters.com/technology/singapore-police-says-wanted-crypto-developer-do-kwon-is-currently-not-singapore-2022-09-17/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=111,2022-09-17T16:54:00Z,"SINGAPORE, Sept 17 (Reuters) - Singapore Police Force said on Saturday the wanted crypto developer Do Kwon, who is accused of fraud by investors following the collapse of his cryptocurrencies Luna an… [+1104 chars]"
33,"{'id': 'reuters', 'name': 'Reuters'}",,Novel action against Ooki crypto collective draws rebuke from commodities trading commissioner - Reuters.com,"The U.S. Commodities Futures Trading Commission has devised a theory to prevent the decentralized, amorphous crypto collectives known as DAOs from capitalizing on their diffuse structure to evade liability.",https://www.reuters.com/legal/government/novel-action-against-ooki-crypto-collective-draws-rebuke-commodities-trading-2022-09-23/,https://www.reuters.com/resizer/kp0hhINXScEOhIARNoFfPazyt5E=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/F2SYJURMCNMH5JEAGTYQHDI4Y4.jpg,2022-09-23T20:49:00Z,"(Reuters) - The U.S. Commodities Futures Trading Commission has devised a theory to prevent the decentralized, amorphous crypto collectives known as DAOs from capitalizing on their diffuse structure … [+6582 chars]"
34,"{'id': 'reuters', 'name': 'Reuters'}",,Liverpool expands partnership with NFT fantasy sports startup Sorare - Reuters,"Liverpool football club is deepening its ties with the crypto world by expanding a partnership with French blockchain-based sports startup Sorare, the company said in a statement on Thursday.",https://www.reuters.com/technology/liverpool-expands-partnership-with-nft-fantasy-sports-startup-sorare-2022-09-22/,https://www.reuters.com/resizer/8CilIck4JUcN0vmAlzyVRD-Esgw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/IJEMDZNCIZM47LSVDSBNLI3X3U.jpg,2022-09-22T13:07:00Z,"LONDON, Sept 22 (Reuters) - Liverpool football club is deepening its ties with the crypto world by expanding a partnership with French blockchain-based sports startup Sorare, the company said in a st… [+1990 chars]"
35,"{'id': 'reuters', 'name': 'Reuters'}",,Indonesia's tech firm GoTo buys local crypto exchange for $8.4 mln - Reuters,"Indonesia's biggest tech firm PT GoTo Gojek Tokopedia Tbk (GoTo) entered cryptocurrency business by acquiring local crypto exchange PT Kripto Maksima Koin in a bid to diversify its services, GoTo said in a statement.",https://www.reuters.com/technology/indonesias-tech-firm-goto-buys-local-crypto-exchange-84-mln-2022-08-29/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=108,2022-08-29T15:58:00Z,"JAKARTA, Aug 29 (Reuters) - Indonesia's biggest tech firm PT GoTo Gojek Tokopedia Tbk (GoTo) entered cryptocurrency business by acquiring local crypto exchange PT Kripto Maksima Koin in a bid to dive… [+1302 chars]"
36,"{'id': 'reuters', 'name': 'Reuters'}",,"Indonesia to tighten rules for crypto exchanges, ensure more local control - Reuters","Indonesia's trade ministry plans to issue a new rule governing crypto asset exchanges, requiring two-thirds of the board of directors and commissioners to be Indonesian citizens and reside in the country, a deputy minister said Tuesday.",https://www.reuters.com/markets/currencies/indonesia-tighten-rules-crypto-exchanges-ensure-more-local-control-2022-09-20/,https://www.reuters.com/resizer/J4Akbfv8v71Ol3Dflc5kF-hddwY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QRLMAXIJRJKWTFPUUQQDGBYBHY.jpg,2022-09-20T13:37:00Z,"JAKARTA, Sept 20 (Reuters) - Indonesia's trade ministry plans to issue a new rule governing crypto asset exchanges, requiring two-thirds of the board of directors and commissioners to be Indonesian c… [+1660 chars]"
37,"{'id': 'business-insider', 'name': 'Business Insider'}",prosen@insider.com (Phil Rosen),"Tornado Cash was the preferred 'laundering tool' for most NFT scammers before it was sanctioned by the US Treasury, says Elliptic","The crypto mixing platform was the ""laundering tool of choice"" for 52% of NFT scammers, Elliptic Enterprises wrote in a report.",https://markets.businessinsider.com/news/currencies/tornado-cash-nft-us-sanctions-cryptocurrency-crypto-korea-assets-north-2022-8,https://i.insider.com/63076b23830ed800183fb376?width=1200&format=jpeg,2022-08-25T13:18:29Z,"Bad actors turned to Tornado Cash as their preferred tool for laundering cryptocurrency proceeds from non-fungible token scams, research firm Elliptic Enterprises wrote in a Wednesday report. 
The p… [+1014 chars]"
38,"{'id': 'business-insider', 'name': 'Business Insider'}",jerb@insider.com (Jordan Parker Erb),Crypto influencers pedal questionable advice and profit off their viewers — no matter which way the market turns,"Crypto influencers have stepped up to offer advice to millions of people, and even though their advice is often wrong, they still profit off fans.",https://www.businessinsider.com/rise-of-cryptocurrency-hype-men-influencers-advice-2022-8,https://i.insider.com/630bce54417a0a0019107555?width=1200&format=jpeg,2022-08-29T10:21:18Z,"Welcome back, readers. The year is 2022, and our social media feeds are filled with influencers.
There are water park influencers, pet influencers, and LinkedIn influencers. And in another corner of… [+4121 chars]"
